shark_name
sharpnose
swellshark
basking
sixgill
bignose
blacknose
blue
sixgill
bonnethead
bramble
bronze whaler
shyshark
smooth-hound
bambooshark
bull
caribbean
sharpnose
reef
cookiecutter
blacktip
dusky
epaulette
filetail
finetooth
galapagos
ghost
goblin
greenland 
grey reef
smooth-hound
horn
kitefin
leopard
megamouth
milk
necklace
night
nurse
oceanic
angel
porbeagle
jackson
portuguese
shyshark
salmon
sandbar
sandtiger
sevengill
mako
lemon
silky
silvertip
smalltail
hammerhead
spinner
dog
wobbegong
catshark
swell
tawny nurse
thresher
tiger shark
tope
whale
white shark
whitespotted
whitetip reef
zebra
zambesi
smooth hound
copper
black-tip
black tip
carpet
seven-gill
six-gill
grey nurse
raggedtooth
sand
shovelnose
smoothhound
